,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster,id
120,0.416,0.707,0,-11.573,1,0.144,0.347,0.0,0.708,0.691,198.612,119160,4,7,3qaxvM6GoaZEiOySyYV4e2
121,0.727,0.974,4,-2.261,0,0.0664,0.103,0.000532,0.174,0.965,79.526,235213,4,5,2PpruBYCo4H7WOBJ7Q2EwM
122,0.787,0.527,1,-6.981,1,0.0512,0.0615,0.0,0.0656,0.807,133.107,187733,4,1,0nmxH6IsSQVT1YEsCB9UMi
123,0.659,0.364,11,-9.174,1,0.0317,0.559,0.0,0.129,0.231,129.776,262667,4,9,0CjrIEPmqIKnBHy99hun3v
124,0.696,0.783,1,-6.341,0,0.0291,0.014,0.000101,0.0794,0.768,109.183,209400,4,5,0YhwwpABBK0GzeUaB8OzIm
125,0.812,0.526,10,-15.523,0,0.0492,0.0544,0.00159,0.0362,0.843,117.525,234160,4,8,4InXjGfCi4hJVWlqPuY6Im
126,0.711,0.362,3,-10.851,0,0.0381,0.272,0.0,0.127,0.616,117.287,194293,4,8,1tqT6DhmsrtQgyCKUwotiw
127,0.802,0.828,4,-6.366,0,0.0426,0.0127,0.0683,0.0293,0.946,97.01,189787,4,5,3DYVWvPh3kGwPasp7yjahc
128,0.902,0.72,6,-2.776,0,0.347,0.26,0.0,0.0749,0.805,90.059,193467,4,4,4RY96Asd9IefaL3X4LOLZ8
129,0.825,0.475,1,-9.242,1,0.0342,0.535,0.00932,0.0836,0.727,117.39,254213,4,1,6HJ7sPs8GLMLbOB5DRMzTB
130,0.672,0.819,11,-4.457,1,0.0463,0.0362,0.000196,0.182,0.445,120.009,278573,4,3,7tAXHZdp9UpcYrHn7MZqfo
131,0.809,0.562,11,-7.694,0,0.0534,0.0816,0.000418,0.105,0.798,130.003,194347,4,5,4MKzCHlZvkwJOQRNkdw4zq
132,0.462,0.629,4,-11.963,0,0.0294,0.149,0.000194,0.202,0.675,131.062,418387,4,8,6tGlPE4QClYVNdaRFxV6Iy
133,0.659,0.541,5,-7.919,1,0.0272,0.0174,0.0,0.198,0.56,116.685,224693,4,3,0kPeymTUiaidv48eRrMISu
134,0.727,0.552,2,-8.074,0,0.14,0.227,0.000164,0.198,0.607,168.189,289160,4,5,0ARK753YaiJbpLUk7z5yIM
135,0.694,0.968,6,-3.803,1,0.155,0.0296,0.0,0.0493,0.73,126.616,281120,4,3,355qbpf35myn397wClXTg8
136,0.655,0.488,1,-9.17,1,0.22,0.0825,1.16e-06,0.221,0.791,91.025,244827,4,4,4WY3HyGXsWqjFRCVD6gnTe
137,0.37,0.43,1,-9.591,1,0.0268,0.521,0.0,0.101,0.406,94.545,223360,4,2,7ifDMAJEJslLnJwnndYjVn
138,0.615,0.711,11,-5.507,1,0.0779,0.0444,0.0,0.145,0.711,144.036,221253,4,3,2zJZwWF7BTGIIvrAlgzJEx
139,0.706,0.558,2,-7.237,0,0.0593,0.146,0.0,0.118,0.227,110.443,223253,4,8,2tJulUYLDKOg9XrtVkMgcJ
140,0.743,0.675,8,-4.267,0,0.0953,0.0251,0.000717,0.0685,0.59,92.909,214400,4,5,1KGi9sZVMeszgZOWivFpxs
141,0.321,0.522,10,-7.349,0,0.0339,0.404,9.56e-06,0.0922,0.456,202.689,288080,4,10,1UrZVcINJBqjKw2rF8V0nm
142,0.71,0.584,9,-9.286,1,0.0808,0.18,0.000137,0.173,0.438,99.225,236960,4,3,5GwX1wegV2ox6S5Ak6fjC2
143,0.646,0.94,10,-2.856,0,0.0838,0.0209,0.0,0.0691,0.704,129.011,231787,4,5,4nVyHATevhl5RC6Qmoko5H
144,0.697,0.474,9,-6.663,1,0.0351,0.603,0.0,0.11,0.249,127.904,196280,4,9,0rFOs9paloAvEtzwDX1Kmc
145,0.786,0.716,11,-4.253,0,0.0409,0.102,1.72e-05,0.0557,0.595,125.921,235520,4,5,6jAsmDJI8iPhGWtS27kZ67
146,0.64,0.433,5,-9.432,1,0.0375,0.509,5.16e-06,0.103,0.25,176.088,306933,4,9,2PsHIonOTmX6bSrzIJSjyS
147,0.481,0.638,0,-5.862,1,0.0276,0.153,0.0,0.154,0.497,79.064,259933,4,9,2hKdd3qO7cWr2Jo0Bcs0MA
148,0.332,0.148,3,-17.523,1,0.032,0.864,0.0609,0.206,0.613,70.881,156440,4,2,01OFUZ8btJxFI6n5igQUqx
149,0.188,0.213,4,-9.807,1,0.0304,0.89,0.431,0.196,0.204,79.607,192027,4,2,2SUe50SsXKH97zPwx1pnuL
150,0.252,0.303,3,-13.59,1,0.0327,0.528,0.925,0.11,0.22,73.62,197827,4,6,4CsDlMtoESHZCMcjuoZInd
151,0.646,0.795,9,-3.293,1,0.0976,0.0319,0.0,0.267,0.796,89.99,210960,4,3,0qOnSQQF0yzuPWsXrQ9paz
152,0.652,0.732,7,-10.55,1,0.0421,0.423,3.09e-06,0.189,0.93,143.219,139002,4,0,2mlYLbSQjh5bdbLeZe3yB1
153,0.65,0.562,7,-5.965,1,0.0345,0.0624,3.21e-05,0.076,0.882,123.674,176867,4,3,4PEeZ2U4UfP2Jo8EtIOjus
154,0.641,0.63,8,-6.393,1,0.0521,0.0372,0.0,0.4,0.415,79.955,241933,4,3,3u9fHuAtjMY1RW2mZfO4Cf
155,0.677,0.722,5,-7.767,1,0.0295,0.357,0.148,0.105,0.898,132.996,174600,4,0,6RUpOheT93fUdI508K5w6U
156,0.659,0.696,3,-4.291,1,0.071,0.143,0.0,0.13,0.665,86.001,252160,4,1,1j3H54xdahpAkNI0q6S89q
157,0.567,0.141,10,-14.803,1,0.0315,0.925,0.00465,0.117,0.319,103.078,160067,3,11,5VyBNCSb8VXoSxD281PRod
158,0.415,0.534,0,-8.432,1,0.0305,0.00362,0.000433,0.118,0.142,138.996,274800,4,9,6yagwOP4hNv70YC4pIKUPx
159,0.421,0.201,0,-12.399,1,0.0436,0.917,0.000436,0.116,0.188,129.689,186507,5,2,4wM7V31TsZzzDBEH02Hltb
